County,COUNTYNS1,Yield
JACKSON,485007,3.732375
JEFFERSON,485008,2.89444
JEWELL,485009,3.46169375
KINGMAN,485012,2.9212055
KIOWA,485013,3.63452625
LABETTE,485014,2.80533375
LEAVENWORTH,485016,3.10634475
LINCOLN,485017,2.71427725
LINN,485018,2.641849
LYON,485020,2.84205225
MARION,485022,3.81637025
MARSHALL,485023,3.312466
MCPHERSON,485021,3.2948465
MEADE,485024,3.49706725
MIAMI,485025,2.556307
MITCHELL,485026,3.252748
MONTGOMERY,485027,2.52597725
MORRIS,485028,2.95314925
NEMAHA,485029,3.205404
NEOSHO,485030,2.867002
NORTON,485032,2.7856295
OSAGE,485033,2.85536775
OSBORNE,485034,3.4495215
OTTAWA,485035,2.91414425
PAWNEE,485036,3.87904725
PHILLIPS,485037,2.807015
POTTAWATOMIE,485038,3.52208425
PRATT,485039,2.8109155
RENO,485041,3.00735275
REPUBLIC,485042,3.7397725
RICE,485043,2.32416
RILEY,485044,2.81340375
ROOKS,485045,2.85563675
RUSSELL,485046,3.195451
SALINE,485047,3.2020415
SEDGWICK,485049,3.4137445
SEWARD,485050,2.7810565
SHAWNEE,485051,3.4199315
SHERIDAN,485052,3.0774945
SMITH,484969,2.731695
STAFFORD,485054,3.649523
STEVENS,485056,2.98052
SUMNER,481812,3.09114625
THOMAS,485057,2.7869745
WABAUNSEE,485059,3.04191925
WASHINGTON,485061,3.11885325
WILSON,485063,2.9612865
WOODSON,485064,3.83735225
ALCONA,1622943,3.0626995
ALLEGAN,1622945,3.694984
ARENAC,1622948,3.17857125
BARRY,1622950,3.083009
BAY,1622951,3.7091065
BRANCH,1622954,2.67924
CALHOUN,1622955,3.53418925
CASS,1622956,3.11804625
CLINTON,1622961,3.491082
EATON,1622965,2.62833175
GENESEE,1622967,2.64393375
GLADWIN,1622968,2.76807725
HILLSDALE,1622972,3.19188675
HURON,1622974,2.94803825
INGHAM,1622975,2.77614725
IONIA,1622976,3.193568
IOSCO,1622977,3.073594
ISABELLA,1622979,3.34373725
JACKSON,1622980,3.380254
KALAMAZOO,1622981,3.34360275
KENT,1622983,3.329951
LAPEER,1622986,3.293098
LENAWEE,1622988,3.25321875
LIVINGSTON,1622989,2.94413775
MACOMB,1622992,2.631358
MASON,1622995,3.1245695
MECOSTA,1622996,2.88899275
MIDLAND,1622998,3.3965285
MONROE,1623000,3.3236295
MONTCALM,1623001,2.65455925
MONTMORENCY,1623002,2.91562375
MUSKEGON,1623003,3.06357375
NEWAYGO,1623004,3.219661
OAKLAND,1623005,3.0777635
OCEANA,1623006,3.09222225
OGEMAW,1623007,3.2289415
OTTAWA,1623012,2.97318975
PRESQUE ISLE,1623013,2.755367
SAGINAW,1623015,2.91481675
SANILAC,1623016,2.82012875
SHIAWASSEE,1623018,3.183884
TUSCOLA,1623019,3.001502
VAN BUREN,1623020,3.20681625
WASHTENAW,1623021,3.0207355
WAYNE,1623022,3.1138095
AITKIN,663198,2.910042
ANOKA,659447,2.9325035
BECKER,659448,2.56283025
BELTRAMI,659449,2.47997825
BENTON,659450,3.14965375
BIG STONE,659451,3.0489805
BLUE EARTH,659452,3.230959
BROWN,659453,3.19699775
CARVER,659455,3.2838175
CASS,659456,3.24837675
CHIPPEWA,659457,3.10526875
CHISAGO,659458,2.82819875
CLAY,659459,2.7764835
CLEARWATER,659460,2.43599675
COTTONWOOD,659462,2.542857
CROW WING,659463,3.1008975
DAKOTA,659464,2.715286
DODGE,659465,3.268619
DOUGLAS,659466,3.14010425
FARIBAULT,659467,3.59148625
FILLMORE,659468,3.77037125
FREEBORN,659469,3.5727235
GOODHUE,659470,2.9814615
GRANT,659471,3.60533975
HENNEPIN,659472,2.9828065
HOUSTON,659473,3.06895375
ISANTI,659475,2.682737
ITASCA,659476,3.87608825
JACKSON,659477,2.8165645
KANDIYOHI,659479,3.29693125
KITTSON,659480,3.63223975
KOOCHICHING,659481,3.17655375
LAC QUI PARLE,659482,3.6230265
LAKE OF THE WOODS,659483,3.66761325
LE SUEUR,659485,3.53351675
LINCOLN,659486,3.698212
LYON,659487,3.1724515
