COUNTYNS1,GEOID,NAME,Yield
1622965,26045,Eaton,3.2380875
1622967,26049,Genesee,3.006882
1622970,26055,Grand Traverse,3.1665335
1622971,26057,Gratiot,3.1342535
1622972,26059,Hillsdale,3.17547775
1622974,26063,Huron,3.096997
1622975,26065,Ingham,3.062027
1622976,26067,Ionia,3.04030525
1622979,26073,Isabella,2.05785
1622980,26075,Jackson,3.35126925
1622981,26077,Kalamazoo,3.05469675
1622986,26087,Lapeer,2.790606
1622988,26091,Lenawee,2.83115775
1622989,26093,Livingston,3.25752275
1622992,26099,Macomb,3.021677
1622995,26105,Mason,2.79618775
1622996,26107,Mecosta,3.3029165
1622998,26111,Midland,2.9357315
1623000,26115,Monroe,2.13189225
1623001,26117,Montcalm,2.72839975
1623003,26121,Muskegon,2.9497195
1623004,26123,Newaygo,2.4246315
1623005,26125,Oakland,2.6433285
1623012,26139,Ottawa,3.1404405
1623015,26145,Saginaw,2.842523
1623016,26151,Sanilac,2.9604795
1623018,26155,Shiawassee,3.033782
1623019,26157,Tuscola,2.72651675
1623021,26161,Washtenaw,2.4117195
1623022,26163,Wayne,3.15637875
663198,27001,Aitkin,3.25221
659447,27003,Anoka,3.13082375
659448,27005,Becker,3.13297575
659450,27009,Benton,3.076015
659451,27011,Big Stone,2.68320775
659452,27013,Blue Earth,2.3549605
659453,27015,Brown,2.23881975
659455,27019,Carver,2.590739
659457,27023,Chippewa,2.84097625
659458,27025,Chisago,3.134388
659459,27027,Clay,3.45900375
659460,27029,Clearwater,3.3198635
659462,27033,Cottonwood,3.170972
659464,27037,Dakota,3.348781
659465,27039,Dodge,3.5170405
659467,27043,Faribault,2.64796875
659468,27045,Fillmore,3.08052075
659469,27047,Freeborn,2.740303
659470,27049,Goodhue,3.186036
659472,27053,Hennepin,3.28993725
659475,27059,Isanti,3.605676
659477,27063,Jackson,3.35759075
659478,27065,Kanabec,3.565864
659479,27067,Kandiyohi,3.323495
659480,27069,Kittson,3.62860825
659482,27073,Lac qui Parle,3.007151
659485,27079,Le Sueur,2.5881835
659487,27083,Lyon,3.113944
659489,27089,Marshall,2.757519
659490,27091,Martin,3.584425
659491,27085,McLeod,2.3673345
659494,27097,Morrison,3.59310025
659495,27099,Mower,3.39807525
659496,27101,Murray,3.35443
659497,27103,Nicollet,2.66841275
659498,27105,Nobles,3.18126125
659500,27109,Olmsted,3.2343215
659501,27111,Otter Tail,3.06122
659505,27119,Polk,3.6206055
659506,27121,Pope,3.0777635
659508,27125,Red Lake,3.524169
659509,27127,Redwood,3.229076
659510,27129,Renville,3.53970375
659511,27131,Rice,3.1678785
659512,27133,Rock,2.79417025
659513,27135,Roseau,3.391821
659516,27143,Sibley,2.910311
659517,27145,Stearns,3.049115
659518,27147,Steele,3.2657945
659519,27149,Stevens,3.42282325
659520,27151,Swift,3.60843325
659522,27155,Traverse,2.631627
659523,27157,Wabasha,3.41986425
659525,27161,Waseca,3.208094
659526,27163,Washington,3.59377275
659527,27165,Watonwan,3.42645475
659528,27167,Wilkin,3.622085
659531,27173,Yellow Medicine,3.63358475
711755,28003,Alcorn,3.59457975
695728,28007,Attala,3.621547
695729,28009,Benton,3.06666725
695730,28011,Bolivar,3.23896175
695731,28013,Calhoun,3.335062
695732,28015,Carroll,3.5603495
695733,28017,Chickasaw,2.47876775
695738,28027,Coahoma,2.46612475
695744,28039,George,2.9556375
695748,28049,Hinds,3.14360125
695749,28051,Holmes,3.058261
695750,28053,Humphreys,2.8265175
695751,28055,Issaquena,2.86370675
695752,28057,Itawamba,2.9265855
695759,28071,Lafayette,2.9844205
695760,28073,Lamar,2.861084
695764,28081,Lee,2.855973
695765,28083,Leflore,2.85066025
695767,28087,Lowndes,2.94333075
695768,28089,Madison,3.146493
695770,28093,Marshall,2.61474725
695771,28095,Monroe,2.7528115
695774,28103,Noxubee,2.77224675
695776,28107,Panola,2.65684575
695803,28115,Pontotoc,3.12638525
695779,28117,Prentiss,2.5750025
695780,28119,Quitman,2.7132685
695781,28121,Rankin,2.7474315
695783,28125,Sharkey,2.88468875
695784,28127,Simpson,3.0355305
695787,28133,Sunflower,2.93001525
695788,28135,Tallahatchie,2.7670685
695789,28137,Tate,2.59658975
695792,28143,Tunica,2.84568375
695793,28145,Union,2.55247375
695794,28147,Walthall,3.12786475
695795,28149,Warren,2.6497845
695796,28151,Washington,3.1345225
695798,28155,Webster,2.982672
695802,28163,Yazoo,2.69558175
758457,29005,Atchison,2.7673375
758458,29007,Audrain,2.7148825
758460,29011,Barton,2.73862175
758461,29013,Bates,3.01111875
758471,29033,Carroll,3.11643225
758476,29043,Christian,2.81555575
758479,29049,Clinton,3.12342625
758483,29057,Dade,3.88590675
758484,29059,Dallas,2.908697
758489,29069,Dunklin,2.39658825
758490,29071,Franklin,2.97803175
758491,29073,Gasconade,2.988052
758493,29077,Greene,2.9004925
758494,29079,Grundy,2.503045
758496,29083,Henry,2.49948075
758497,29085,Hickory,2.3164935
758502,29095,Jackson,2.8832765
758503,29097,Jasper,3.05093075
758504,29099,Jefferson,3.024905
758505,29101,Johnson,1.837808
758506,29103,Knox,2.737882
758507,29105,Laclede,2.8025765
758508,29107,Lafayette,2.6500535
758509,29109,Lawrence,2.874265
758510,29111,Lewis,2.264173
758511,29113,Lincoln,3.0207355
758513,29117,Livingston,2.81824575
758515,29123,Madison,2.96848225
758516,29125,Maries,2.46222425
758520,29131,Miller,3.44340175
758521,29133,Mississippi,2.185625
758522,29135,Moniteau,3.05025825
758523,29137,Monroe,3.12786475
758524,29139,Montgomery,2.76605975
758525,29141,Morgan,2.499279
758526,29143,New Madrid,2.6519365
758528,29147,Nodaway,2.802173
758530,29151,Osage,3.05671425
758532,29155,Pemiscot,2.68361125
758533,29157,Perry,2.8870425
758534,29159,Pettis,3.0406415
758536,29163,Pike,2.77466775
758537,29165,Platte,3.020601
758538,29167,Polk,2.98435325
758542,29175,Randolph,3.049384
758550,29195,Saline,3.2375495
758551,29197,Schuyler,3.20358825
758555,29205,Shelby,2.804325
758556,29207,Stoddard,3.13176525
758562,29219,Warren,3.155639
758566,29227,Worth,2.40438925
835823,31001,Adams,3.10204075
835824,31003,Antelope,3.363845
835828,31011,Boone,2.67029575
835829,31015,Boyd,3.24783875
835831,31019,Buffalo,3.2889285
835832,31021,Burt,3.02954525
835833,31023,Butler,2.73983225
835834,31025,Cass,3.90298825
835835,31027,Cedar,3.58866175
835839,31035,Clay,3.95450175
835840,31037,Colfax,3.270502
835841,31039,Cuming,3.607021
835842,31041,Custer,3.44057725
835845,31047,Dawson,3.7195975
835848,31053,Dodge,3.7298195
835849,31055,Douglas,3.61071975
835851,31059,Fillmore,3.85779625
835855,31067,Gage,3.71522625
835857,31071,Garfield,3.51885625
835858,31073,Gosper,3.58368525
835860,31077,Greeley,3.85403025
835861,31079,Hall,3.632307
835862,31081,Hamilton,3.3505295
835863,31083,Harlan,3.85927575
835866,31089,Holt,3.1388265
835868,31093,Howard,3.28778525
835869,31095,Jefferson,3.664587
835871,31099,Kearney,3.658669
835873,31103,Keya Paha,3.796128
835875,31107,Knox,3.9089735
835876,31109,Lancaster,3.32826975
835878,31113,Logan,3.600027
835880,31119,Madison,3.73580475
835882,31121,Merrick,3.35664925
835885,31127,Nemaha,3.83775575
835887,31131,Otoe,2.81891825
835888,31133,Pawnee,3.55678525
835890,31137,Phelps,2.983479
835891,31139,Pierce,3.19928425
835892,31141,Platte,3.62000025
835893,31143,Polk,3.818993
835895,31147,Richardson,3.607559
835897,31151,Saline,3.122821
835899,31155,Saunders,3.013876
835901,31159,Seward,3.80103725
835903,31163,Sherman,3.5434025
835905,31167,Stanton,3.6717155
835906,31169,Thayer,3.79565725
835908,31173,Thurston,3.04138125
835909,31175,Valley,3.490006
835910,31177,Washington,3.82645775
835911,31179,Wayne,3.48832475
835912,31181,Webster,3.6491195
835914,31185,York,3.9224235
1034225,38003,Barnes,3.428136
1034216,38005,Benson,3.05483125
1034227,38009,Bottineau,3.6232955
1034235,38013,Burke,3.3949145
1035614,38015,Burleigh,3.8812665
1034226,38017,Cass,3.326992
1035304,38019,Cavalier,3.81246975
1035622,38021,Dickey,2.75207175
1034222,38027,Eddy,2.269284
1035615,38029,Emmons,2.21447525
1034218,38035,Grand Forks,2.167064
1034219,38039,Griggs,2.39349475
1034206,38043,Kidder,3.1253765
1035305,38049,McHenry,2.3616855
1035299,38053,McKenzie,2.8391605
1034232,38055,McLean,2.42483325
