COUNTYNS1,NAME,Yield
711755,Alcorn,2.94911425
695728,Attala,3.82322975
695729,Benton,2.95476325
695730,Bolivar,3.39175375
695731,Calhoun,2.73620075
695732,Carroll,3.24434175
695733,Chickasaw,2.865926
695735,Claiborne,2.59739675
695737,Clay,3.18717925
695738,Coahoma,3.16350725
695748,Hinds,2.87002825
695749,Holmes,2.91979325
695750,Humphreys,2.54386575
695751,Issaquena,2.8130675
695752,Itawamba,2.468613
695759,Lafayette,2.93270525
695764,Lee,2.88993425
695765,Leflore,2.752946
695767,Lowndes,2.967339
695768,Madison,3.1444755
695770,Marshall,2.99497875
695771,Monroe,2.686772
711757,Montgomery,2.7140755
695774,Noxubee,2.71185625
695776,Panola,3.062834
695803,Pontotoc,2.46518325
695779,Prentiss,2.9080245
695780,Quitman,2.8162955
695781,Rankin,2.66041
695782,Scott,3.1627675
695783,Sharkey,2.82712275
695787,Sunflower,2.92786325
695788,Tallahatchie,2.79013525
695789,Tate,2.70405525
695792,Tunica,2.787109
695793,Union,2.691076
695795,Warren,2.6979355
695796,Washington,3.29800725
695798,Webster,3.06290125
695802,Yazoo,3.07836875
758456,Andrew,3.0357995
758457,Atchison,3.03869125
758458,Audrain,2.79309425
758460,Barton,2.49194875
758461,Bates,3.24891475
758464,Boone,2.9268545
758465,Buchanan,2.799752
758466,Butler,3.13095825
758467,Caldwell,3.5845595
758470,Cape Girardeau,3.6405115
758471,Carroll,2.84097625
758473,Cass,2.9195915
758475,Chariton,3.16108625
758478,Clay,3.056109
758479,Clinton,3.11414575
758480,Cole,2.732502
758481,Cooper,3.2781685
758483,Dade,3.2230235
758484,Dallas,2.75139925
758485,Daviess,3.195451
758489,Dunklin,3.276689
758490,Franklin,3.1686855
758491,Gasconade,3.049922
758492,Gentry,3.668891
758493,Greene,2.40721375
758496,Henry,2.433643
758497,Hickory,2.72113675
758502,Jackson,2.88737875
758503,Jasper,3.08543
758504,Jefferson,2.81098275
758505,Johnson,2.829073
758506,Knox,2.40936575
758507,Laclede,2.88119175
758508,Lafayette,2.797331
758509,Lawrence,3.041045
758510,Lewis,2.74649
758511,Lincoln,3.0473665
758512,Linn,2.97561075
758513,Livingston,3.490275
758517,Marion,2.48697225
758518,McDonald,3.60238075
758520,Miller,2.51266175
758521,Mississippi,3.339635
758522,Moniteau,3.14965375
758523,Monroe,2.978637
758524,Montgomery,3.06599475
758525,Morgan,3.17958
758526,New Madrid,2.528331
758527,Newton,2.93889225
758528,Nodaway,3.272385
758530,Osage,3.2192575
758532,Pemiscot,3.32826975
758533,Perry,3.614284
758534,Pettis,3.1329085
758536,Pike,3.08791825
758537,Platte,2.500893
758538,Polk,3.5390985
758541,Ralls,3.06263225
758542,Randolph,2.9236265
758543,Ray,2.85751975
758550,Saline,3.2967295
758553,Scott,3.05873175
758555,Shelby,3.21233075
758556,Stoddard,2.85409
758561,Vernon,3.717849
758562,Warren,3.08226925
758564,Wayne,3.28886125
758565,Webster,3.549993
758566,Worth,3.09760225
835823,Adams,3.42309225
835824,Antelope,3.35140375
835828,Boone,2.56888275
835829,Boyd,3.42685825
835830,Brown,2.42638
835831,Buffalo,2.458929
835832,Burt,2.78367925
835833,Butler,3.91563125
835834,Cass,3.56283775
835835,Cedar,3.59861475
835839,Clay,3.02308925
835840,Colfax,4.17185375
835841,Cuming,3.5686885
835842,Custer,3.718925
835845,Dawson,3.63479525
835847,Dixon,3.7798535
835848,Dodge,3.28253975
835849,Douglas,4.18288275
835851,Fillmore,3.51562825
835854,Furnas,3.66182975
835855,Gage,3.626658
835860,Greeley,3.844279
835861,Hall,3.2493855
835862,Hamilton,3.753357
835866,Holt,3.06976075
835869,Jefferson,3.78099675
835870,Johnson,3.57332875
835871,Kearney,2.959807
835873,Keya Paha,3.2609525
835875,Knox,3.78099675
835876,Lancaster,4.063783
835878,Logan,3.7957245
835880,Madison,2.72382675
835882,Merrick,2.93337775
835884,Nance,3.944885
835885,Nemaha,3.16512125
835886,Nuckolls,2.94803825
835887,Otoe,3.124435
835888,Pawnee,4.11119425
835890,Phelps,3.63667825
835891,Pierce,3.6741365
835892,Platte,3.27837025
835893,Polk,3.40278275
835895,Richardson,3.63210525
835897,Saline,3.23304375
835898,Sarpy,2.809436
835899,Saunders,4.143138
835901,Seward,3.113406
835903,Sherman,3.41367725
835905,Stanton,3.6676805
835906,Thayer,2.89894575
835910,Washington,2.79901225
835911,Wayne,3.0602785
835912,Webster,3.59700075
835914,York,3.61206475
1034210,Adams,2.59887625
1034225,Barnes,3.38866025
1034216,Benson,3.34723425
1034227,Bottineau,3.34736875
1035614,Burleigh,3.43452475
1034226,Cass,3.923634
1035304,Cavalier,4.06627125
1035622,Dickey,1.26248425
1034222,Eddy,2.48065075
1035615,Emmons,2.32140275
1034223,Foster,2.51979025
1034218,Grand Forks,2.331423
1034219,Griggs,2.747835
1034209,Hettinger,2.44541175
1034206,Kidder,2.44662225
1035620,Logan,2.452473
1035305,McHenry,2.678164
1034211,McIntosh,2.52947425
1035299,McKenzie,2.57480075
1035307,Mountrail,2.42241225
1034217,Nelson,1.23867775
1034212,Pembina,2.2645765
1034230,Pierce,2.49060375
1034215,Ramsey,2.6099725
1035301,Ransom,2.31609
1034229,Renville,2.49363
1035302,Richland,1.918777
1034228,Rolette,2.04796425
1035303,Sargent,2.459736
1034203,Sheridan,2.59484125
1034220,Steele,2.66088075
1034224,Stutsman,2.40896225
1034213,Towner,2.65213825
1034221,Traill,2.4805835
1034214,Walsh,2.83680675
1034231,Ward,2.3358615
1034204,Wells,2.645884
1035306,Williams,1.9635655
1074014,Adams,2.9077555
1074015,Allen,2.425035
1074017,Ashtabula,2.39201525
1074018,Athens,2.8943055
1074019,Auglaize,2.53418175
1074020,Brown,1.92745225
1074021,Butler,2.65980475
1074022,Carroll,2.37130225
1074023,Champaign,3.4325745
1074024,Clark,3.06330475
1074025,Clermont,2.96189175
1074026,Clinton,3.012262
1074027,Columbiana,3.177159
1074028,Coshocton,3.57232
1074029,Crawford,3.1452825
1074031,Darke,2.96014325
1074032,Defiance,3.65604625
1074033,Delaware,3.468486
1074035,Fairfield,3.42295775
1074036,Fayette,3.95154275
1074037,Franklin,2.9733915
1074038,Fulton,3.25658125
1074041,Greene,3.26344075
1074042,Guernsey,3.28657475
1074043,Hamilton,2.683275
1074044,Hancock,3.30311825
1074045,Hardin,3.33405325
1074046,Harrison,3.79982675
1074047,Henry,3.1229555
1074048,Highland,3.16095175
1074049,Hocking,3.67084125
1074050,Holmes,3.1522765
1074051,Huron,3.487854
1074052,Jackson,3.08616975
1074054,Knox,2.9330415
1074057,Licking,3.1993515
1074058,Logan,2.92134
1074059,Lorain,3.54811
